lat_grid,lon_grid,n_days_detected
31.31,6.02,18
31.31,8.3,25
31.31,8.33,27
31.31,9.06,47
31.31,11.8,60
31.31,11.81,54
31.32,6.03,30
31.32,6.05,37
31.32,6.06,27
31.32,6.07,23
31.32,6.09,18
31.32,8.33,19
31.32,11.8,634
31.32,11.81,419
31.33,6.03,166
31.33,6.04,491
31.33,6.05,25
31.33,6.06,212
31.33,6.07,16
31.33,8.35,48
31.34,6.04,22
31.34,6.05,85
31.34,6.06,444
31.34,6.07,63
31.34,6.08,22
31.34,10.65,18
31.35,6.05,36
31.35,6.06,30
31.35,6.07,23
31.35,8.03,35
31.35,8.04,20
31.36,6.04,239
31.36,6.05,999
31.36,6.06,66
31.36,6.08,24
31.36,6.09,28
31.36,6.1,17
31.36,8.06,29
31.36,10.96,67
31.36,10.97,73
31.36,10.98,17
31.37,6.04,134
31.37,6.05,443
31.37,6.09,47
31.37,6.1,39
31.37,6.11,31
31.37,8.31,18
31.37,8.34,33
31.37,9.96,32
31.38,-8.06,23
31.38,6.09,23
31.38,6.11,53
31.38,8.34,19
31.39,6.93,421
31.39,6.94,608
31.39,6.95,48
31.39,10.6,153
31.39,10.61,213
31.4,5.97,832
31.4,5.98,600
31.4,6.92,46
31.4,6.93,766
31.4,6.94,423
31.4,6.95,28
31.4,8.32,17
31.4,9.85,33
31.4,9.86,66
31.4,10.02,162
31.4,10.03,71
31.41,5.83,18
31.41,5.97,591
31.41,5.98,727
31.41,9.85,56
31.41,9.86,18
31.42,5.83,20
31.42,5.84,22
31.43,5.83,23
31.43,5.84,23
31.43,5.91,23
31.43,5.92,42
31.43,5.93,21
31.44,5.91,29
31.44,5.92,16
31.44,5.94,17
31.44,5.96,22
31.44,8.82,16
31.44,8.84,19
31.45,5.92,21
31.45,5.96,19
31.45,8.27,25
31.45,8.84,39
31.46,5.93,39
31.46,5.94,123
31.46,5.95,19
31.46,9.83,23
31.47,5.93,32
31.47,5.94,115
31.48,5.83,25
31.48,9.54,245
31.48,10.71,24
31.49,5.82,26
31.49,5.83,22
31.49,5.84,248
31.49,5.85,347
31.49,5.96,16
31.49,5.97,17
31.49,6.0,25
31.49,9.49,374
31.49,9.5,22
31.49,9.54,317
31.5,5.82,24
31.5,5.83,31
31.5,5.84,281
31.5,5.85,352
31.5,5.97,18
31.5,6.89,21
31.5,9.49,89
31.51,5.85,35
31.51,5.99,23
31.52,-5.49,19
31.52,5.84,28
31.52,5.85,20
31.52,5.99,21
31.52,6.15,28
31.52,9.69,28
31.53,5.95,20
31.53,5.96,30
31.53,5.97,28
31.53,5.98,20
31.53,6.15,30
31.53,6.16,22
31.53,7.05,31
31.53,7.06,34
31.54,5.98,27
31.54,6.15,17
31.54,6.81,17
31.54,7.06,42
31.54,7.07,17
31.55,5.79,16
31.55,6.07,18
31.56,5.95,38
31.56,5.96,42
31.56,5.97,24
31.56,9.4,23
31.56,9.41,46
31.57,5.95,22
31.57,5.96,16
31.57,5.98,22
31.57,6.03,29
31.57,6.04,22
31.57,6.2,24
31.58,-8.5,94
31.58,5.94,20
31.58,5.95,513
31.58,5.96,378
31.58,6.01,17
31.58,6.04,39
31.58,6.09,19
31.59,-8.5,126
31.59,5.92,18
31.59,5.95,784
31.59,5.96,1311
31.59,5.97,28
31.59,6.0,18
31.59,6.01,33
31.59,6.03,50
31.59,6.05,23
31.59,6.06,29
31.59,6.09,21
31.59,6.12,26
31.6,5.86,32
31.6,5.87,36
31.6,5.88,58
31.6,5.94,17
31.6,5.95,24
31.6,5.96,47
31.6,5.97,22
31.6,6.0,29
31.61,5.82,30
31.61,5.83,71
31.61,5.85,20
31.61,5.87,20
31.61,5.98,20
31.62,5.82,56
31.62,5.83,65
31.62,5.85,20
31.62,5.86,20
31.62,5.95,23
31.62,5.96,64
31.62,5.99,46
31.62,6.06,74
31.62,6.08,16
31.62,6.09,45
31.62,6.12,21
31.63,5.81,36
31.63,5.83,36
31.63,5.88,30
31.63,5.95,31
31.63,5.97,56
31.63,5.98,676
31.63,5.99,426
31.63,6.05,41
31.63,6.06,510
31.63,6.07,180
31.63,6.1,16
31.63,6.12,19
31.63,6.13,131
31.63,6.14,89
31.63,6.15,21
31.64,5.81,53
31.64,5.82,44
31.64,5.86,23
31.64,5.88,38
31.64,5.96,17
31.64,5.97,58
31.64,5.98,338
31.64,5.99,198
31.64,6.0,120
31.64,6.06,112
31.64,6.07,71
31.64,6.13,44
31.64,6.14,32
31.65,5.78,27
31.65,5.79,39
31.65,5.8,19
31.65,5.81,25
31.65,5.86,19
31.65,5.87,42
31.65,5.96,18
31.65,5.98,47
31.65,5.99,331
31.65,6.0,89
31.65,6.07,34
31.65,9.16,19
31.65,9.17,830
31.65,9.18,31
31.65,10.24,232
31.66,5.8,27
31.66,5.81,52
31.66,5.9,19
31.66,5.91,18
31.66,5.97,50
31.66,6.04,58
31.66,6.05,879
31.66,6.06,844
31.66,6.07,93
31.66,6.08,20
31.66,6.11,20
31.66,6.19,38
31.66,6.2,18
31.67,5.33,45
31.67,5.79,19
31.67,5.81,36
31.67,5.82,34
31.67,5.83,78
31.67,5.95,24
31.67,5.97,25
31.67,5.98,395
31.67,5.99,212
31.67,6.0,26
31.67,6.04,61
31.67,6.05,719
31.67,6.06,535
31.67,6.07,20
31.67,6.11,25
31.67,6.2,116
31.67,6.99,31
31.68,5.79,30
31.68,5.8,36
31.68,5.81,125
31.68,5.83,34
31.68,5.86,21
31.68,5.94,26
31.68,6.02,16
31.68,6.03,35
31.68,6.04,53
31.68,6.05,335
31.68,6.18,41
31.68,6.19,78
31.68,6.2,374
31.68,6.22,23
31.68,6.23,40
31.68,6.24,50
31.69,5.79,29
31.69,5.8,121
31.69,5.81,527
31.69,5.82,48
31.69,5.83,48
31.69,5.84,57
31.69,5.87,16
31.69,5.91,20
31.69,5.92,26
31.69,5.93,98
31.69,5.94,17
31.69,5.96,134
31.69,5.97,41
31.69,6.02,28
31.69,6.03,24
31.69,6.05,106
31.69,6.18,129
31.69,6.19,281
31.69,6.2,63
31.69,6.22,66
31.69,6.23,83
31.69,6.24,53
31.69,9.2,26
31.69,9.21,17
31.7,5.8,96
31.7,5.81,613
31.7,5.82,66
31.7,5.83,22
31.7,5.89,19
31.7,5.92,17
31.7,5.96,644
31.7,5.97,185
31.7,5.99,17
31.7,6.03,17
31.7,6.23,18
31.7,6.24,20
31.7,9.02,27
31.7,9.2,18
31.7,9.24,139
31.7,9.25,67
31.71,-8.07,16
31.71,5.89,47
31.71,5.9,21
31.71,5.91,23
31.71,5.92,16
31.71,5.95,31
31.71,5.96,572
31.71,5.97,90
31.71,9.24,64
31.71,9.25,33
31.72,5.81,16
31.72,5.89,63
31.72,5.91,21
31.72,5.94,41
31.72,6.16,32
31.72,6.19,20
31.72,6.2,19
31.72,6.21,25
31.72,6.23,16
31.72,6.24,65
31.72,6.25,43
31.72,9.01,20
31.73,5.77,29
31.73,5.78,32
31.73,5.82,45
31.73,5.87,34
31.73,5.88,23
31.73,5.89,17
31.73,5.91,59
31.73,5.94,25
31.73,5.95,31
31.73,5.96,37
31.73,5.98,17
31.74,5.78,16
31.74,5.8,28
31.74,5.81,42
31.74,5.91,17
31.74,5.92,40
31.74,5.93,39
31.74,5.96,22
31.74,5.97,22
31.74,6.22,27
31.75,5.22,309
31.75,5.23,943
31.75,5.24,17
31.75,5.8,19
31.75,5.81,21
31.75,5.91,22
31.75,5.97,21
31.75,6.13,17
31.75,6.14,312
31.75,6.15,112
31.75,6.16,24
31.75,6.19,32
31.75,6.2,63
31.76,5.22,18
31.76,5.9,20
31.76,5.97,28
31.76,5.98,120
31.76,5.99,110
31.76,6.02,288
31.76,6.03,17
31.76,6.04,18
31.76,6.05,19
31.76,6.06,16
31.76,6.13,16
31.76,6.14,347
31.76,6.15,94
31.76,6.16,34
31.76,6.2,75
31.76,6.22,30
31.77,5.84,24
31.77,5.89,18
31.77,5.93,37
31.77,5.94,21
31.77,5.95,27
31.77,5.97,26
31.77,6.08,38
31.77,6.21,18
31.77,6.26,17
31.78,5.1,454
31.78,5.11,378
31.78,5.84,29
31.78,5.89,58
31.78,5.9,33
31.78,5.91,28
31.78,6.02,76
31.78,6.06,191
31.78,6.07,186
31.78,6.08,66
31.78,8.58,25
31.78,8.59,131
31.79,5.82,18
31.79,5.83,54
31.79,5.94,17
31.79,6.05,139
31.79,6.06,650
31.79,6.07,787
31.79,6.08,33
31.79,6.09,27
31.79,6.1,20
31.79,6.11,21
31.79,6.13,21
31.79,6.21,24
31.79,7.07,22
31.79,8.59,28
31.8,5.85,35
31.8,5.96,21
31.8,5.99,75
31.8,6.0,93
31.8,6.02,16
31.8,6.05,351
31.8,6.06,545
31.8,6.07,67
31.8,6.08,28
31.8,6.13,26
31.8,6.14,100
31.8,6.15,55
31.8,6.16,22
31.8,7.07,37
31.81,5.95,20
31.81,5.96,19
31.81,5.99,337
31.81,6.0,361
31.81,6.01,16
31.81,6.02,33
31.81,6.12,22
31.81,6.13,17
31.81,6.14,68
31.81,6.15,36
31.81,6.16,382
31.81,6.17,52
31.81,6.22,312
31.81,6.23,195
31.81,6.24,17
31.82,6.12,18
31.82,6.15,19
31.82,6.16,291
31.82,6.17,25
31.82,6.22,395
31.82,6.23,267
31.83,5.96,72
31.83,5.97,495
31.83,5.98,48
31.83,6.02,16
31.83,6.14,19
31.83,6.17,58
31.83,6.18,28
31.83,10.98,22
31.84,5.05,28
31.84,5.06,37
31.84,5.72,17
31.84,5.86,16
31.84,5.96,101
31.84,5.97,380
31.84,5.98,33
31.84,6.04,18
31.84,6.05,58
31.84,6.06,16
31.84,6.07,16
31.84,6.14,17
31.84,6.16,19
31.84,6.23,18
31.84,6.24,16
31.84,9.03,23
31.85,-1.93,164
31.85,5.05,582
31.85,5.06,611
31.85,5.07,16
31.85,6.03,56
31.85,6.04,250
31.85,6.05,849
31.85,6.06,49
31.85,6.22,26
31.85,6.26,26
31.86,6.03,16
31.86,6.04,37
31.86,6.07,19
31.86,6.16,109
31.86,6.17,459
31.86,6.18,74
31.86,6.23,22
31.86,11.41,20
31.87,5.96,19
31.87,5.97,25
31.87,6.16,105
31.87,6.17,428
31.87,6.18,61
31.88,5.96,24
31.88,5.97,44
31.89,5.92,78
31.89,6.06,36
31.9,-4.54,34
31.9,5.92,26
31.9,6.06,230
31.9,6.07,394
31.9,6.08,16
31.9,6.09,20
31.91,6.04,20
31.91,6.06,16
31.91,6.07,128
31.91,6.08,83
31.93,6.08,16
31.94,4.99,16
31.94,5.0,213
31.95,5.0,55
31.95,11.14,265
31.95,11.15,238
31.96,5.21,391
31.96,5.22,706
31.96,11.14,338
31.96,11.15,225
31.97,5.21,29
31.97,5.22,43
31.98,7.14,19
32.0,9.49,122
32.02,9.54,84
32.03,5.26,21
32.05,-7.37,17
32.05,5.12,20
32.05,7.02,41
32.05,7.03,54
32.06,7.02,39
32.06,7.03,50
32.07,5.35,454
32.07,5.36,185
32.08,5.35,101
32.1,6.86,58
32.12,7.02,16
32.13,6.46,57
32.13,6.47,992
32.13,6.48,44
32.14,6.46,96
32.14,6.47,1129
