wilaya_id,wilaya_code,date,nb_detections,frp_total,frp_max,fire_detected
1,01,2018-02-20,1,7.94,7.94,1
1,01,2018-02-21,3,10.899999999999999,6.06,1
1,01,2018-02-23,2,23.21,12.61,1
1,01,2018-02-25,1,5.1,5.1,1
1,01,2018-02-27,4,13.27,4.54,1
1,01,2018-02-28,3,11.95,4.51,1
1,01,2018-03-04,2,8.39,5.21,1
1,01,2018-03-05,6,11.16,2.62,1
1,01,2018-03-08,6,18.0,5.71,1
1,01,2018-03-09,1,10.06,10.06,1
1,01,2018-03-17,1,0.14,0.14,1
1,01,2018-03-18,1,1.68,1.68,1
1,01,2018-03-27,4,12.88,4.65,1
1,01,2018-03-30,1,3.96,3.96,1
1,01,2018-04-02,1,0.31,0.31,1
1,01,2018-04-04,3,3.5700000000000003,1.62,1
1,01,2018-04-12,3,1.26,0.48,1
1,01,2018-04-16,9,22.54,6.46,1
1,01,2018-04-17,13,55.38,9.16,1
1,01,2018-04-18,1,4.91,4.91,1
1,01,2018-04-19,2,3.21,2.96,1
1,01,2018-04-20,2,4.7700000000000005,4.49,1
1,01,2018-04-21,6,52.1,12.59,1
1,01,2018-04-28,1,0.44,0.44,1
1,01,2018-05-02,2,7.970000000000001,4.82,1
1,01,2018-05-05,1,0.29,0.29,1
1,01,2018-05-11,4,3.38,1.21,1
1,01,2018-05-12,2,2.77,1.61,1
1,01,2018-05-13,2,2.64,1.61,1
1,01,2018-05-15,1,1.5,1.5,1
1,01,2018-05-18,2,9.879999999999999,6.47,1
1,01,2018-05-22,12,77.79,9.58,1
1,01,2018-05-26,1,12.5,12.5,1
1,01,2018-05-31,3,13.25,10.03,1
1,01,2018-06-05,1,0.35,0.35,1
1,01,2018-06-25,1,2.51,2.51,1
1,01,2018-06-27,1,2.77,2.77,1
1,01,2018-07-04,3,11.07,4.09,1
1,01,2018-07-05,2,9.61,7.46,1
1,01,2018-07-08,3,11.73,4.03,1
1,01,2018-07-17,1,1.05,1.05,1
1,01,2018-07-19,1,1.22,1.22,1
1,01,2018-07-21,3,5.890000000000001,2.37,1
1,01,2018-07-30,2,11.42,5.71,1
1,01,2018-08-03,1,1.39,1.39,1
1,01,2018-08-04,2,4.23,2.37,1
1,01,2018-08-05,1,2.39,2.39,1
1,01,2018-08-06,4,5.54,1.8,1
1,01,2018-08-09,1,3.54,3.54,1
1,01,2018-08-14,2,19.119999999999997,9.84,1
1,01,2018-08-16,1,1.07,1.07,1
1,01,2018-08-25,2,4.699999999999999,3.26,1
